cell_type_major	cell_type_minor	cell_type_subset	exp	markers
T cell	T cell CD8+	T cell (Cytotoxic)	pos	"CD3D,CD3E,CD3G,CD8A,CD8B,GZMB,GZMK,IFNG,LAG3,ZFP36,ZNF683"
T cell	T cell CD8+	T cell (Cytotoxic)	neg	"CD14,CD19,CD4"
T cell	T cell CD4+	T cell (Naive)	pos	"CCR7,CD3D,CD3E,CD3G,CD4,IL7R,SELL"
T cell	T cell CD4+	T cell (Naive)	neg	"CD14,CD19,CD69,CD8A,CD8B,IL2RA,KLRG1"
T cell	T cell CD4+	T cell (Tfh)	pos	"B3GAT1,BCL6,BTLA,CD3D,CD3E,CD3G,CD4,CD40LG,CD84,CXCR4,CXCR5,ICOS,IL6R,MAF,MME,PDCD1,SLAMF1,STAT3,TNFRSF4"
T cell	T cell CD4+	T cell (Tfh)	neg	"CD14,CD19,CD8A,CD8B,IL7R,SELL"
T cell	T cell CD4+	T cell (Tfh)	sec	"CXCL13,IFNG,IL10,IL17A,IL17F,IL21,IL4"
T cell	T cell CD4+	T cell (Th1)	pos	"CCR1,CCR5,CD3D,CD3E,CD3G,CD4,CXCR3,IFNGR1,IFNGR2,IL12RB2,IL18R1,IL27RA,STAT1,STAT4,TBX21"
T cell	T cell CD4+	T cell (Th1)	neg	"CD14,CD19,CD8A,CD8B,IL7R,SELL"
T cell	T cell CD4+	T cell (Th1)	sec	"IFNG,IL2,LTA,TNF"
T cell	T cell CD4+	T cell (Th17)	pos	"BATF,CCR4,CCR6,CD3D,CD3E,CD3G,CD4,IL1R1,IL21R,IL23R,IL6R,IRF4,RORA,RORC,STAT3,TGFBR2"
T cell	T cell CD4+	T cell (Th17)	neg	"CD14,CD19,CD8A,CD8B,IL7R,SELL"
T cell	T cell CD4+	T cell (Th17)	sec	"CCL20,IL17A,IL17F,IL21,IL22,IL26"
T cell	T cell CD4+	T cell (Th2)	pos	"CCR3,CCR4,CCR8,CD3D,CD3E,CD3G,CD4,CRLF2,CXCR4,GATA3,IL17RB,IL1RL1,IL4R,IRF4,STAT5A,STAT5B,STAT6"
T cell	T cell CD4+	T cell (Th2)	neg	"CD14,CD19,CD8A,CD8B,IL7R,SELL"
T cell	T cell CD4+	T cell (Th2)	sec	"IL10,IL13,IL21,IL4,IL5,IL9"
T cell	T cell CD4+	T cell (Th22)	pos	"AHR,BATF,CCR10,CCR4,CCR6,CD3D,CD3E,CD3G,CD4,IL6R,STAT3,TGFBR2,TNFRSF1A"
T cell	T cell CD4+	T cell (Th22)	neg	"CD14,CD19,CD8A,CD8B,IL7R,KLRB1,SELL"
T cell	T cell CD4+	T cell (Th22)	sec	"CCL15,CCL7,FGF1,FGF2,FGF3,FGF4,FGF5,FGF6,FGF7,FGF8,FGF9"
T cell	T cell CD4+	T cell (Th9)	pos	"CD3D,CD3E,CD3G,CD4,IL17RB,IL4R,IRF4,SPI1,TGFBR2"
T cell	T cell CD4+	T cell (Th9)	neg	"CD14,CD19,CD8A,CD8B,IL7R,SELL"
T cell	T cell CD4+	T cell (Th9)	sec	"CCL17,CCL22,IL9"
T cell	T cell CD4+	T cell (Treg)	pos	"CD3D,CD3E,CD3G,CD4,CD5,CTLA4,ENTPD1,FOXP3,IKZF2,IL10,IL2RA,ITGAE,IZUMO1R,LAG3,LAP3,LGALS1,LRRC32,NRP1,NT5E,SELL,STAT5A,STAT5B,TGFB1,TGFB2,TGFB3,TNFRSF18,TNFRSF4"
T cell	T cell CD4+	T cell (Treg)	neg	"CD14,CD19,CD8A,CD8B"
T cell	T cell CD4+	T cell (Treg)	sec	"EBI3,IL10,IL12A,LGALS1,TGFB1,TGFB2,TGFB3"
T cell	ILC	ILC1	pos	"CD69,CXCR3,ICOS,IL12RB2,IL1R1,IL2RA,IL2RB,IL7R,ITGA1,KLRB1,NCR1,PTPRC,TBX21"
T cell	ILC	ILC1	neg	"EOMES,IL17RB,IL1RL1,IL23R,NCAM1,NCR2,PTGDR2"
T cell	ILC	ILC1	sec	"IFNG,IL2,LTA,TNF"
T cell	ILC	ILC2	pos	"ATXN1,CRLF2,GATA3,ICOS,IL17RB,IL1R1,IL1RL1,IL2RA,IL7R,KLRB1,KLRG1,PTGDR2,PTPRC,THY1"
T cell	ILC	ILC2	neg	"CD4,FCER1A,IL12RB2,NCR1,NCR2"
T cell	ILC	ILC2	sec	"AREG,IL13,IL4,IL5,IL9"
T cell	ILC	ILC3	pos	"AHR,ATXN1,CCR6,IL1R1,IL23R,IL2RA,IL7R,NCR1,NCR2,PTPRC,RORC,TBX21,THY1"
T cell	ILC	ILC3	neg	"ATXN1,CD4,CD8A,CD8B,NCAM1,NCR1,NCR2"
T cell	ILC	ILC3	sec	"CSF2,IL17A,IL22,LTA,LTB,TNF"
